group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
knn search,vptree,32,,,1039900.0,ns,18
knn search,vptree,32,,,1994600.0,ns,36
knn search,vptree,32,,,3151000.0,ns,54
knn search,vptree,32,,,4134800.0,ns,72
knn search,vptree,32,,,4996800.0,ns,90
knn search,vptree,32,,,5895400.0,ns,108
knn search,vptree,32,,,7019100.0,ns,126
knn search,vptree,32,,,7832700.0,ns,144
knn search,vptree,32,,,9421100.0,ns,162
knn search,vptree,32,,,10110800.0,ns,180
knn search,vptree,32,,,11180400.0,ns,198
knn search,vptree,32,,,12066100.0,ns,216
knn search,vptree,32,,,13078000.0,ns,234
knn search,vptree,32,,,13793900.0,ns,252
knn search,vptree,32,,,14438800.0,ns,270
knn search,vptree,32,,,16023200.0,ns,288
knn search,vptree,32,,,16410800.0,ns,306
knn search,vptree,32,,,17674200.0,ns,324
knn search,vptree,32,,,19342000.0,ns,342
knn search,vptree,32,,,19523800.0,ns,360
knn search,vptree,32,,,20596300.0,ns,378
knn search,vptree,32,,,21311800.0,ns,396
knn search,vptree,32,,,22503000.0,ns,414
knn search,vptree,32,,,23433000.0,ns,432
knn search,vptree,32,,,24473800.0,ns,450
knn search,vptree,32,,,25720600.0,ns,468
knn search,vptree,32,,,26670100.0,ns,486
knn search,vptree,32,,,27426600.0,ns,504
knn search,vptree,32,,,28619500.0,ns,522
knn search,vptree,32,,,29985500.0,ns,540
knn search,vptree,32,,,30237400.0,ns,558
knn search,vptree,32,,,31592900.0,ns,576
knn search,vptree,32,,,34934700.0,ns,594
knn search,vptree,32,,,33017400.0,ns,612
knn search,vptree,32,,,34075800.0,ns,630
knn search,vptree,32,,,35539500.0,ns,648
knn search,vptree,32,,,36011900.0,ns,666
knn search,vptree,32,,,37654100.0,ns,684
knn search,vptree,32,,,37825600.0,ns,702
knn search,vptree,32,,,39178100.0,ns,720
knn search,vptree,32,,,41029800.0,ns,738
knn search,vptree,32,,,41517700.0,ns,756
knn search,vptree,32,,,42601800.0,ns,774
knn search,vptree,32,,,46489300.0,ns,792
knn search,vptree,32,,,44233200.0,ns,810
knn search,vptree,32,,,45917500.0,ns,828
knn search,vptree,32,,,46779400.0,ns,846
knn search,vptree,32,,,48160300.0,ns,864
knn search,vptree,32,,,48477000.0,ns,882
knn search,vptree,32,,,50921400.0,ns,900
knn search,vptree,32,,,50718900.0,ns,918
knn search,vptree,32,,,51404300.0,ns,936
knn search,vptree,32,,,51305700.0,ns,954
knn search,vptree,32,,,53809600.0,ns,972
knn search,vptree,32,,,54439600.0,ns,990
knn search,vptree,32,,,55339900.0,ns,1008
knn search,vptree,32,,,55474900.0,ns,1026
knn search,vptree,32,,,56537100.0,ns,1044
knn search,vptree,32,,,57949800.0,ns,1062
knn search,vptree,32,,,59065700.0,ns,1080
knn search,vptree,32,,,60872400.0,ns,1098
knn search,vptree,32,,,61615600.0,ns,1116
knn search,vptree,32,,,63131300.0,ns,1134
knn search,vptree,32,,,63154700.0,ns,1152
knn search,vptree,32,,,64551700.0,ns,1170
knn search,vptree,32,,,64952500.0,ns,1188
knn search,vptree,32,,,66028600.0,ns,1206
knn search,vptree,32,,,67687900.0,ns,1224
knn search,vptree,32,,,78147800.0,ns,1242
knn search,vptree,32,,,70151400.0,ns,1260
knn search,vptree,32,,,71146700.0,ns,1278
knn search,vptree,32,,,71849200.0,ns,1296
knn search,vptree,32,,,71631300.0,ns,1314
knn search,vptree,32,,,72797300.0,ns,1332
knn search,vptree,32,,,73593200.0,ns,1350
knn search,vptree,32,,,75634600.0,ns,1368
knn search,vptree,32,,,76621100.0,ns,1386
knn search,vptree,32,,,77183100.0,ns,1404
knn search,vptree,32,,,77426900.0,ns,1422
knn search,vptree,32,,,78344000.0,ns,1440
knn search,vptree,32,,,78833300.0,ns,1458
knn search,vptree,32,,,79880200.0,ns,1476
knn search,vptree,32,,,82016700.0,ns,1494
knn search,vptree,32,,,82648300.0,ns,1512
knn search,vptree,32,,,84066400.0,ns,1530
knn search,vptree,32,,,84680800.0,ns,1548
knn search,vptree,32,,,84793400.0,ns,1566
knn search,vptree,32,,,86971200.0,ns,1584
knn search,vptree,32,,,86327500.0,ns,1602
knn search,vptree,32,,,88136900.0,ns,1620
knn search,vptree,32,,,90260900.0,ns,1638
knn search,vptree,32,,,91366300.0,ns,1656
knn search,vptree,32,,,90361100.0,ns,1674
knn search,vptree,32,,,91748200.0,ns,1692
knn search,vptree,32,,,93258300.0,ns,1710
knn search,vptree,32,,,94760300.0,ns,1728
knn search,vptree,32,,,94783900.0,ns,1746
knn search,vptree,32,,,96220500.0,ns,1764
knn search,vptree,32,,,98897000.0,ns,1782
knn search,vptree,32,,,100776600.0,ns,1800
