group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
knn search,vptree,1024,,,52382300.0,ns,18
knn search,vptree,1024,,,50538900.0,ns,18
knn search,vptree,1024,,,51172000.0,ns,18
knn search,vptree,1024,,,51004800.0,ns,18
knn search,vptree,1024,,,50801900.0,ns,18
knn search,vptree,1024,,,51196400.0,ns,18
knn search,vptree,1024,,,50787500.0,ns,18
knn search,vptree,1024,,,51254200.0,ns,18
knn search,vptree,1024,,,50850700.0,ns,18
knn search,vptree,1024,,,50831300.0,ns,18
knn search,vptree,1024,,,50997700.0,ns,18
knn search,vptree,1024,,,50919200.0,ns,18
knn search,vptree,1024,,,52007300.0,ns,18
knn search,vptree,1024,,,51530300.0,ns,18
knn search,vptree,1024,,,51044500.0,ns,18
knn search,vptree,1024,,,50686100.0,ns,18
knn search,vptree,1024,,,50618200.0,ns,18
knn search,vptree,1024,,,50606700.0,ns,18
knn search,vptree,1024,,,50706300.0,ns,18
knn search,vptree,1024,,,51271100.0,ns,18
knn search,vptree,1024,,,51350700.0,ns,18
knn search,vptree,1024,,,51895500.0,ns,18
knn search,vptree,1024,,,50603700.0,ns,18
knn search,vptree,1024,,,51468900.0,ns,18
knn search,vptree,1024,,,51253200.0,ns,18
knn search,vptree,1024,,,51063300.0,ns,18
knn search,vptree,1024,,,51527600.0,ns,18
knn search,vptree,1024,,,51320600.0,ns,18
knn search,vptree,1024,,,51840400.0,ns,18
knn search,vptree,1024,,,51285400.0,ns,18
knn search,vptree,1024,,,51448500.0,ns,18
knn search,vptree,1024,,,50924800.0,ns,18
knn search,vptree,1024,,,51074900.0,ns,18
knn search,vptree,1024,,,50701200.0,ns,18
knn search,vptree,1024,,,51077300.0,ns,18
knn search,vptree,1024,,,51406300.0,ns,18
knn search,vptree,1024,,,51999500.0,ns,18
knn search,vptree,1024,,,50845600.0,ns,18
knn search,vptree,1024,,,51399600.0,ns,18
knn search,vptree,1024,,,54625300.0,ns,18
knn search,vptree,1024,,,52422800.0,ns,18
knn search,vptree,1024,,,51157800.0,ns,18
knn search,vptree,1024,,,51209900.0,ns,18
knn search,vptree,1024,,,51796100.0,ns,18
knn search,vptree,1024,,,52361700.0,ns,18
knn search,vptree,1024,,,51874800.0,ns,18
knn search,vptree,1024,,,50934100.0,ns,18
knn search,vptree,1024,,,51064000.0,ns,18
knn search,vptree,1024,,,51685300.0,ns,18
knn search,vptree,1024,,,51365300.0,ns,18
knn search,vptree,1024,,,51010900.0,ns,18
knn search,vptree,1024,,,52086600.0,ns,18
knn search,vptree,1024,,,51287600.0,ns,18
knn search,vptree,1024,,,50632300.0,ns,18
knn search,vptree,1024,,,50256700.0,ns,18
knn search,vptree,1024,,,50863200.0,ns,18
knn search,vptree,1024,,,50935700.0,ns,18
knn search,vptree,1024,,,50714200.0,ns,18
knn search,vptree,1024,,,51042900.0,ns,18
knn search,vptree,1024,,,54981900.0,ns,18
knn search,vptree,1024,,,51074600.0,ns,18
knn search,vptree,1024,,,51475600.0,ns,18
knn search,vptree,1024,,,51481400.0,ns,18
knn search,vptree,1024,,,51124000.0,ns,18
knn search,vptree,1024,,,51535200.0,ns,18
knn search,vptree,1024,,,51795900.0,ns,18
knn search,vptree,1024,,,55407600.0,ns,18
knn search,vptree,1024,,,50442100.0,ns,18
knn search,vptree,1024,,,51105500.0,ns,18
knn search,vptree,1024,,,50999400.0,ns,18
knn search,vptree,1024,,,50923400.0,ns,18
knn search,vptree,1024,,,56963500.0,ns,18
knn search,vptree,1024,,,51086200.0,ns,18
knn search,vptree,1024,,,51358900.0,ns,18
knn search,vptree,1024,,,51469400.0,ns,18
knn search,vptree,1024,,,51212800.0,ns,18
knn search,vptree,1024,,,51391900.0,ns,18
knn search,vptree,1024,,,51066600.0,ns,18
knn search,vptree,1024,,,51372000.0,ns,18
knn search,vptree,1024,,,52762200.0,ns,18
knn search,vptree,1024,,,51202900.0,ns,18
knn search,vptree,1024,,,50741800.0,ns,18
knn search,vptree,1024,,,51446400.0,ns,18
knn search,vptree,1024,,,50993000.0,ns,18
knn search,vptree,1024,,,51075000.0,ns,18
knn search,vptree,1024,,,51274100.0,ns,18
knn search,vptree,1024,,,51331400.0,ns,18
knn search,vptree,1024,,,51316900.0,ns,18
knn search,vptree,1024,,,50884200.0,ns,18
knn search,vptree,1024,,,51019100.0,ns,18
knn search,vptree,1024,,,52625500.0,ns,18
knn search,vptree,1024,,,51674200.0,ns,18
knn search,vptree,1024,,,51336300.0,ns,18
knn search,vptree,1024,,,51598600.0,ns,18
knn search,vptree,1024,,,51066800.0,ns,18
knn search,vptree,1024,,,52439000.0,ns,18
knn search,vptree,1024,,,51125100.0,ns,18
knn search,vptree,1024,,,51071100.0,ns,18
knn search,vptree,1024,,,51423100.0,ns,18
knn search,vptree,1024,,,51112500.0,ns,18
