group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
knn search,brute force,1024,,,90055800.0,ns,2
knn search,brute force,1024,,,89904600.0,ns,2
knn search,brute force,1024,,,91081300.0,ns,2
knn search,brute force,1024,,,89624200.0,ns,2
knn search,brute force,1024,,,91078100.0,ns,2
knn search,brute force,1024,,,89646900.0,ns,2
knn search,brute force,1024,,,89946600.0,ns,2
knn search,brute force,1024,,,89883400.0,ns,2
knn search,brute force,1024,,,89142600.0,ns,2
knn search,brute force,1024,,,89990700.0,ns,2
knn search,brute force,1024,,,90485800.0,ns,2
knn search,brute force,1024,,,90296200.0,ns,2
knn search,brute force,1024,,,89881800.0,ns,2
knn search,brute force,1024,,,93024100.0,ns,2
knn search,brute force,1024,,,90122600.0,ns,2
knn search,brute force,1024,,,90059200.0,ns,2
knn search,brute force,1024,,,98179500.0,ns,2
knn search,brute force,1024,,,91098500.0,ns,2
knn search,brute force,1024,,,89914900.0,ns,2
knn search,brute force,1024,,,89533100.0,ns,2
knn search,brute force,1024,,,89286200.0,ns,2
knn search,brute force,1024,,,90261000.0,ns,2
knn search,brute force,1024,,,90450300.0,ns,2
knn search,brute force,1024,,,90051200.0,ns,2
knn search,brute force,1024,,,90335000.0,ns,2
knn search,brute force,1024,,,89119000.0,ns,2
knn search,brute force,1024,,,89299100.0,ns,2
knn search,brute force,1024,,,92745300.0,ns,2
knn search,brute force,1024,,,97271500.0,ns,2
knn search,brute force,1024,,,89419400.0,ns,2
knn search,brute force,1024,,,89242600.0,ns,2
knn search,brute force,1024,,,89609000.0,ns,2
knn search,brute force,1024,,,90257100.0,ns,2
knn search,brute force,1024,,,90360500.0,ns,2
knn search,brute force,1024,,,90099800.0,ns,2
knn search,brute force,1024,,,91583500.0,ns,2
knn search,brute force,1024,,,90226400.0,ns,2
knn search,brute force,1024,,,90634100.0,ns,2
knn search,brute force,1024,,,89950400.0,ns,2
knn search,brute force,1024,,,90774900.0,ns,2
knn search,brute force,1024,,,89867100.0,ns,2
knn search,brute force,1024,,,89135700.0,ns,2
knn search,brute force,1024,,,89802800.0,ns,2
knn search,brute force,1024,,,90261700.0,ns,2
knn search,brute force,1024,,,90238900.0,ns,2
knn search,brute force,1024,,,90289800.0,ns,2
knn search,brute force,1024,,,93894500.0,ns,2
knn search,brute force,1024,,,90256000.0,ns,2
knn search,brute force,1024,,,89431700.0,ns,2
knn search,brute force,1024,,,89367000.0,ns,2
knn search,brute force,1024,,,89626600.0,ns,2
knn search,brute force,1024,,,90847500.0,ns,2
knn search,brute force,1024,,,89324300.0,ns,2
knn search,brute force,1024,,,89131100.0,ns,2
knn search,brute force,1024,,,89923200.0,ns,2
knn search,brute force,1024,,,89941800.0,ns,2
knn search,brute force,1024,,,89456900.0,ns,2
knn search,brute force,1024,,,90070100.0,ns,2
knn search,brute force,1024,,,89422800.0,ns,2
knn search,brute force,1024,,,89397300.0,ns,2
knn search,brute force,1024,,,90174600.0,ns,2
knn search,brute force,1024,,,90734300.0,ns,2
knn search,brute force,1024,,,89571700.0,ns,2
knn search,brute force,1024,,,89170500.0,ns,2
knn search,brute force,1024,,,90013500.0,ns,2
knn search,brute force,1024,,,89250100.0,ns,2
knn search,brute force,1024,,,90528000.0,ns,2
knn search,brute force,1024,,,90008500.0,ns,2
knn search,brute force,1024,,,92223500.0,ns,2
knn search,brute force,1024,,,90251900.0,ns,2
knn search,brute force,1024,,,89224100.0,ns,2
knn search,brute force,1024,,,89183500.0,ns,2
knn search,brute force,1024,,,90699300.0,ns,2
knn search,brute force,1024,,,91504500.0,ns,2
knn search,brute force,1024,,,90259900.0,ns,2
knn search,brute force,1024,,,89894900.0,ns,2
knn search,brute force,1024,,,91382600.0,ns,2
knn search,brute force,1024,,,95614300.0,ns,2
knn search,brute force,1024,,,90261900.0,ns,2
knn search,brute force,1024,,,89690300.0,ns,2
knn search,brute force,1024,,,89378300.0,ns,2
knn search,brute force,1024,,,89093600.0,ns,2
knn search,brute force,1024,,,89166900.0,ns,2
knn search,brute force,1024,,,90240000.0,ns,2
knn search,brute force,1024,,,90103400.0,ns,2
knn search,brute force,1024,,,89108100.0,ns,2
knn search,brute force,1024,,,89611200.0,ns,2
knn search,brute force,1024,,,89272300.0,ns,2
knn search,brute force,1024,,,90327900.0,ns,2
knn search,brute force,1024,,,89121400.0,ns,2
knn search,brute force,1024,,,89560500.0,ns,2
knn search,brute force,1024,,,91532500.0,ns,2
knn search,brute force,1024,,,90436700.0,ns,2
knn search,brute force,1024,,,90214200.0,ns,2
knn search,brute force,1024,,,89891000.0,ns,2
knn search,brute force,1024,,,93686900.0,ns,2
knn search,brute force,1024,,,90477100.0,ns,2
knn search,brute force,1024,,,89303800.0,ns,2
knn search,brute force,1024,,,89165500.0,ns,2
knn search,brute force,1024,,,90096900.0,ns,2
