group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
knn search,brute force,128,,,1537700.0,ns,2
knn search,brute force,128,,,2988700.0,ns,4
knn search,brute force,128,,,4594400.0,ns,6
knn search,brute force,128,,,5939300.0,ns,8
knn search,brute force,128,,,7774400.0,ns,10
knn search,brute force,128,,,9164000.0,ns,12
knn search,brute force,128,,,10690300.0,ns,14
knn search,brute force,128,,,12049300.0,ns,16
knn search,brute force,128,,,14203100.0,ns,18
knn search,brute force,128,,,15118500.0,ns,20
knn search,brute force,128,,,16613200.0,ns,22
knn search,brute force,128,,,18297500.0,ns,24
knn search,brute force,128,,,19618600.0,ns,26
knn search,brute force,128,,,21224100.0,ns,28
knn search,brute force,128,,,23054800.0,ns,30
knn search,brute force,128,,,24151600.0,ns,32
knn search,brute force,128,,,25578900.0,ns,34
knn search,brute force,128,,,27112000.0,ns,36
knn search,brute force,128,,,29199200.0,ns,38
knn search,brute force,128,,,31106600.0,ns,40
knn search,brute force,128,,,32532900.0,ns,42
knn search,brute force,128,,,33385600.0,ns,44
knn search,brute force,128,,,34642900.0,ns,46
knn search,brute force,128,,,36372700.0,ns,48
knn search,brute force,128,,,37959800.0,ns,50
knn search,brute force,128,,,39492800.0,ns,52
knn search,brute force,128,,,40711400.0,ns,54
knn search,brute force,128,,,42479900.0,ns,56
knn search,brute force,128,,,43708500.0,ns,58
knn search,brute force,128,,,45265800.0,ns,60
knn search,brute force,128,,,49197700.0,ns,62
knn search,brute force,128,,,49733700.0,ns,64
knn search,brute force,128,,,50564000.0,ns,66
knn search,brute force,128,,,52210600.0,ns,68
knn search,brute force,128,,,53192100.0,ns,70
knn search,brute force,128,,,57811200.0,ns,72
knn search,brute force,128,,,55435600.0,ns,74
knn search,brute force,128,,,57556500.0,ns,76
knn search,brute force,128,,,59176300.0,ns,78
knn search,brute force,128,,,60522900.0,ns,80
knn search,brute force,128,,,61901300.0,ns,82
knn search,brute force,128,,,64187500.0,ns,84
knn search,brute force,128,,,67044500.0,ns,86
knn search,brute force,128,,,66939800.0,ns,88
knn search,brute force,128,,,68473900.0,ns,90
knn search,brute force,128,,,69426900.0,ns,92
knn search,brute force,128,,,70744200.0,ns,94
knn search,brute force,128,,,72952300.0,ns,96
knn search,brute force,128,,,74347600.0,ns,98
knn search,brute force,128,,,77023000.0,ns,100
knn search,brute force,128,,,89088000.0,ns,102
knn search,brute force,128,,,79452900.0,ns,104
knn search,brute force,128,,,79869100.0,ns,106
knn search,brute force,128,,,81575900.0,ns,108
knn search,brute force,128,,,83113700.0,ns,110
knn search,brute force,128,,,84369100.0,ns,112
knn search,brute force,128,,,86248900.0,ns,114
knn search,brute force,128,,,87644300.0,ns,116
knn search,brute force,128,,,89565200.0,ns,118
knn search,brute force,128,,,91764500.0,ns,120
knn search,brute force,128,,,92787800.0,ns,122
knn search,brute force,128,,,94293000.0,ns,124
knn search,brute force,128,,,96340900.0,ns,126
knn search,brute force,128,,,97070500.0,ns,128
knn search,brute force,128,,,97719000.0,ns,130
knn search,brute force,128,,,99900600.0,ns,132
knn search,brute force,128,,,101017000.0,ns,134
knn search,brute force,128,,,103192600.0,ns,136
knn search,brute force,128,,,104481700.0,ns,138
knn search,brute force,128,,,106112500.0,ns,140
knn search,brute force,128,,,108914500.0,ns,142
knn search,brute force,128,,,109234300.0,ns,144
knn search,brute force,128,,,111481700.0,ns,146
knn search,brute force,128,,,111115500.0,ns,148
knn search,brute force,128,,,114483600.0,ns,150
knn search,brute force,128,,,114962600.0,ns,152
knn search,brute force,128,,,116169400.0,ns,154
knn search,brute force,128,,,117310700.0,ns,156
knn search,brute force,128,,,121851700.0,ns,158
knn search,brute force,128,,,122573600.0,ns,160
knn search,brute force,128,,,123506800.0,ns,162
knn search,brute force,128,,,124990600.0,ns,164
knn search,brute force,128,,,126690600.0,ns,166
knn search,brute force,128,,,127821700.0,ns,168
knn search,brute force,128,,,128337000.0,ns,170
knn search,brute force,128,,,129458200.0,ns,172
knn search,brute force,128,,,133968600.0,ns,174
knn search,brute force,128,,,135155900.0,ns,176
knn search,brute force,128,,,136079900.0,ns,178
knn search,brute force,128,,,137373100.0,ns,180
knn search,brute force,128,,,138338200.0,ns,182
knn search,brute force,128,,,140057800.0,ns,184
knn search,brute force,128,,,140268500.0,ns,186
knn search,brute force,128,,,143693600.0,ns,188
knn search,brute force,128,,,144880800.0,ns,190
knn search,brute force,128,,,145754300.0,ns,192
knn search,brute force,128,,,147575700.0,ns,194
knn search,brute force,128,,,159005500.0,ns,196
knn search,brute force,128,,,149113700.0,ns,198
knn search,brute force,128,,,151153500.0,ns,200
