group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
knn search,vptree,8192,,,52347400.0,ns,2
knn search,vptree,8192,,,51778300.0,ns,2
knn search,vptree,8192,,,51275800.0,ns,2
knn search,vptree,8192,,,51616900.0,ns,2
knn search,vptree,8192,,,51797100.0,ns,2
knn search,vptree,8192,,,51389500.0,ns,2
knn search,vptree,8192,,,51776800.0,ns,2
knn search,vptree,8192,,,52387100.0,ns,2
knn search,vptree,8192,,,51721600.0,ns,2
knn search,vptree,8192,,,51750400.0,ns,2
knn search,vptree,8192,,,51641200.0,ns,2
knn search,vptree,8192,,,52000300.0,ns,2
knn search,vptree,8192,,,51158800.0,ns,2
knn search,vptree,8192,,,51842400.0,ns,2
knn search,vptree,8192,,,52644900.0,ns,2
knn search,vptree,8192,,,52325400.0,ns,2
knn search,vptree,8192,,,52090300.0,ns,2
knn search,vptree,8192,,,52810200.0,ns,2
knn search,vptree,8192,,,51708200.0,ns,2
knn search,vptree,8192,,,51579100.0,ns,2
knn search,vptree,8192,,,52522700.0,ns,2
knn search,vptree,8192,,,52757000.0,ns,2
knn search,vptree,8192,,,51990600.0,ns,2
knn search,vptree,8192,,,52099400.0,ns,2
knn search,vptree,8192,,,51854500.0,ns,2
knn search,vptree,8192,,,52587600.0,ns,2
knn search,vptree,8192,,,51411000.0,ns,2
knn search,vptree,8192,,,51545200.0,ns,2
knn search,vptree,8192,,,51489400.0,ns,2
knn search,vptree,8192,,,51931700.0,ns,2
knn search,vptree,8192,,,51634000.0,ns,2
knn search,vptree,8192,,,52422000.0,ns,2
knn search,vptree,8192,,,52896900.0,ns,2
knn search,vptree,8192,,,51530800.0,ns,2
knn search,vptree,8192,,,54410200.0,ns,2
knn search,vptree,8192,,,53444800.0,ns,2
knn search,vptree,8192,,,53101100.0,ns,2
knn search,vptree,8192,,,52224800.0,ns,2
knn search,vptree,8192,,,52157100.0,ns,2
knn search,vptree,8192,,,52320400.0,ns,2
knn search,vptree,8192,,,54415000.0,ns,2
knn search,vptree,8192,,,51625400.0,ns,2
knn search,vptree,8192,,,52734100.0,ns,2
knn search,vptree,8192,,,51182000.0,ns,2
knn search,vptree,8192,,,51634800.0,ns,2
knn search,vptree,8192,,,52161800.0,ns,2
knn search,vptree,8192,,,52234500.0,ns,2
knn search,vptree,8192,,,51847400.0,ns,2
knn search,vptree,8192,,,52589800.0,ns,2
knn search,vptree,8192,,,51918600.0,ns,2
knn search,vptree,8192,,,51781800.0,ns,2
knn search,vptree,8192,,,53012200.0,ns,2
knn search,vptree,8192,,,52629300.0,ns,2
knn search,vptree,8192,,,53277900.0,ns,2
knn search,vptree,8192,,,52418100.0,ns,2
knn search,vptree,8192,,,52841800.0,ns,2
knn search,vptree,8192,,,52873600.0,ns,2
knn search,vptree,8192,,,52239700.0,ns,2
knn search,vptree,8192,,,52430900.0,ns,2
knn search,vptree,8192,,,53226400.0,ns,2
knn search,vptree,8192,,,52192400.0,ns,2
knn search,vptree,8192,,,52386200.0,ns,2
knn search,vptree,8192,,,53095700.0,ns,2
knn search,vptree,8192,,,52801500.0,ns,2
knn search,vptree,8192,,,53144100.0,ns,2
knn search,vptree,8192,,,51755000.0,ns,2
knn search,vptree,8192,,,52715400.0,ns,2
knn search,vptree,8192,,,51815800.0,ns,2
knn search,vptree,8192,,,51399800.0,ns,2
knn search,vptree,8192,,,51710600.0,ns,2
knn search,vptree,8192,,,53151300.0,ns,2
knn search,vptree,8192,,,51930100.0,ns,2
knn search,vptree,8192,,,52318400.0,ns,2
knn search,vptree,8192,,,52236100.0,ns,2
knn search,vptree,8192,,,52876900.0,ns,2
knn search,vptree,8192,,,55079100.0,ns,2
knn search,vptree,8192,,,52859300.0,ns,2
knn search,vptree,8192,,,52677200.0,ns,2
knn search,vptree,8192,,,53333500.0,ns,2
knn search,vptree,8192,,,52372200.0,ns,2
knn search,vptree,8192,,,51821900.0,ns,2
knn search,vptree,8192,,,52160100.0,ns,2
knn search,vptree,8192,,,51794400.0,ns,2
knn search,vptree,8192,,,52908300.0,ns,2
knn search,vptree,8192,,,51694000.0,ns,2
knn search,vptree,8192,,,51830600.0,ns,2
knn search,vptree,8192,,,51923200.0,ns,2
knn search,vptree,8192,,,52003600.0,ns,2
knn search,vptree,8192,,,51582200.0,ns,2
knn search,vptree,8192,,,52328900.0,ns,2
knn search,vptree,8192,,,51947400.0,ns,2
knn search,vptree,8192,,,52914300.0,ns,2
knn search,vptree,8192,,,52852800.0,ns,2
knn search,vptree,8192,,,52945600.0,ns,2
knn search,vptree,8192,,,52344900.0,ns,2
knn search,vptree,8192,,,51729400.0,ns,2
knn search,vptree,8192,,,52211700.0,ns,2
knn search,vptree,8192,,,53498300.0,ns,2
knn search,vptree,8192,,,51581800.0,ns,2
knn search,vptree,8192,,,52044400.0,ns,2
