group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
knn search,brute force,32,,,1155500.0,ns,19
knn search,brute force,32,,,2008200.0,ns,38
knn search,brute force,32,,,3021200.0,ns,57
knn search,brute force,32,,,4003400.0,ns,76
knn search,brute force,32,,,5016500.0,ns,95
knn search,brute force,32,,,6420900.0,ns,114
knn search,brute force,32,,,7664700.0,ns,133
knn search,brute force,32,,,8050200.0,ns,152
knn search,brute force,32,,,9027500.0,ns,171
knn search,brute force,32,,,10198600.0,ns,190
knn search,brute force,32,,,11159900.0,ns,209
knn search,brute force,32,,,12087100.0,ns,228
knn search,brute force,32,,,13153800.0,ns,247
knn search,brute force,32,,,14070000.0,ns,266
knn search,brute force,32,,,15112100.0,ns,285
knn search,brute force,32,,,16246100.0,ns,304
knn search,brute force,32,,,17089200.0,ns,323
knn search,brute force,32,,,18647700.0,ns,342
knn search,brute force,32,,,18997000.0,ns,361
knn search,brute force,32,,,19988700.0,ns,380
knn search,brute force,32,,,21010400.0,ns,399
knn search,brute force,32,,,24394500.0,ns,418
knn search,brute force,32,,,23456400.0,ns,437
knn search,brute force,32,,,24214900.0,ns,456
knn search,brute force,32,,,31644200.0,ns,475
knn search,brute force,32,,,27398900.0,ns,494
knn search,brute force,32,,,27455100.0,ns,513
knn search,brute force,32,,,28635100.0,ns,532
knn search,brute force,32,,,29260000.0,ns,551
knn search,brute force,32,,,30438600.0,ns,570
knn search,brute force,32,,,31345800.0,ns,589
knn search,brute force,32,,,32501400.0,ns,608
knn search,brute force,32,,,33916300.0,ns,627
knn search,brute force,32,,,36721200.0,ns,646
knn search,brute force,32,,,35162200.0,ns,665
knn search,brute force,32,,,36083100.0,ns,684
knn search,brute force,32,,,37545500.0,ns,703
knn search,brute force,32,,,39385900.0,ns,722
knn search,brute force,32,,,39679100.0,ns,741
knn search,brute force,32,,,41046500.0,ns,760
knn search,brute force,32,,,41441200.0,ns,779
knn search,brute force,32,,,55164400.0,ns,798
knn search,brute force,32,,,85449900.0,ns,817
knn search,brute force,32,,,56523600.0,ns,836
knn search,brute force,32,,,47568100.0,ns,855
knn search,brute force,32,,,50820600.0,ns,874
knn search,brute force,32,,,53065600.0,ns,893
knn search,brute force,32,,,53845900.0,ns,912
knn search,brute force,32,,,57079200.0,ns,931
knn search,brute force,32,,,52344800.0,ns,950
knn search,brute force,32,,,51832800.0,ns,969
knn search,brute force,32,,,53067600.0,ns,988
knn search,brute force,32,,,59618500.0,ns,1007
knn search,brute force,32,,,54516900.0,ns,1026
knn search,brute force,32,,,55762400.0,ns,1045
knn search,brute force,32,,,56614100.0,ns,1064
knn search,brute force,32,,,57537600.0,ns,1083
knn search,brute force,32,,,58373300.0,ns,1102
knn search,brute force,32,,,59876000.0,ns,1121
knn search,brute force,32,,,61303400.0,ns,1140
knn search,brute force,32,,,61844400.0,ns,1159
knn search,brute force,32,,,68548800.0,ns,1178
knn search,brute force,32,,,65212600.0,ns,1197
knn search,brute force,32,,,64970100.0,ns,1216
knn search,brute force,32,,,65661800.0,ns,1235
knn search,brute force,32,,,66995500.0,ns,1254
knn search,brute force,32,,,68106400.0,ns,1273
knn search,brute force,32,,,70623300.0,ns,1292
knn search,brute force,32,,,69627800.0,ns,1311
knn search,brute force,32,,,71102800.0,ns,1330
knn search,brute force,32,,,71721200.0,ns,1349
knn search,brute force,32,,,74914300.0,ns,1368
knn search,brute force,32,,,75221300.0,ns,1387
knn search,brute force,32,,,76700600.0,ns,1406
knn search,brute force,32,,,77637300.0,ns,1425
knn search,brute force,32,,,79746000.0,ns,1444
knn search,brute force,32,,,77705100.0,ns,1463
knn search,brute force,32,,,78692700.0,ns,1482
knn search,brute force,32,,,80037000.0,ns,1501
knn search,brute force,32,,,80956300.0,ns,1520
knn search,brute force,32,,,81469600.0,ns,1539
knn search,brute force,32,,,83030700.0,ns,1558
knn search,brute force,32,,,83370400.0,ns,1577
knn search,brute force,32,,,84266000.0,ns,1596
knn search,brute force,32,,,85220900.0,ns,1615
knn search,brute force,32,,,86134200.0,ns,1634
knn search,brute force,32,,,86758900.0,ns,1653
knn search,brute force,32,,,88336000.0,ns,1672
knn search,brute force,32,,,100284800.0,ns,1691
knn search,brute force,32,,,91023800.0,ns,1710
knn search,brute force,32,,,92166800.0,ns,1729
knn search,brute force,32,,,94824400.0,ns,1748
knn search,brute force,32,,,95117700.0,ns,1767
knn search,brute force,32,,,95225800.0,ns,1786
knn search,brute force,32,,,103892400.0,ns,1805
knn search,brute force,32,,,99041400.0,ns,1824
knn search,brute force,32,,,97874300.0,ns,1843
knn search,brute force,32,,,99675600.0,ns,1862
knn search,brute force,32,,,100584400.0,ns,1881
knn search,brute force,32,,,101165200.0,ns,1900
