group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
knn search,vptree,2048,,,54945500.0,ns,9
knn search,vptree,2048,,,53731400.0,ns,9
knn search,vptree,2048,,,52815900.0,ns,9
knn search,vptree,2048,,,53712200.0,ns,9
knn search,vptree,2048,,,53198300.0,ns,9
knn search,vptree,2048,,,52461300.0,ns,9
knn search,vptree,2048,,,53590800.0,ns,9
knn search,vptree,2048,,,52756800.0,ns,9
knn search,vptree,2048,,,53380300.0,ns,9
knn search,vptree,2048,,,53381300.0,ns,9
knn search,vptree,2048,,,53405400.0,ns,9
knn search,vptree,2048,,,52777800.0,ns,9
knn search,vptree,2048,,,53504500.0,ns,9
knn search,vptree,2048,,,53143500.0,ns,9
knn search,vptree,2048,,,53319600.0,ns,9
knn search,vptree,2048,,,53596000.0,ns,9
knn search,vptree,2048,,,53575500.0,ns,9
knn search,vptree,2048,,,52540000.0,ns,9
knn search,vptree,2048,,,54165800.0,ns,9
knn search,vptree,2048,,,52738300.0,ns,9
knn search,vptree,2048,,,52927600.0,ns,9
knn search,vptree,2048,,,52639900.0,ns,9
knn search,vptree,2048,,,52601700.0,ns,9
knn search,vptree,2048,,,53251000.0,ns,9
knn search,vptree,2048,,,53476500.0,ns,9
knn search,vptree,2048,,,52601500.0,ns,9
knn search,vptree,2048,,,52052500.0,ns,9
knn search,vptree,2048,,,53345400.0,ns,9
knn search,vptree,2048,,,53080000.0,ns,9
knn search,vptree,2048,,,53944600.0,ns,9
knn search,vptree,2048,,,53477500.0,ns,9
knn search,vptree,2048,,,53389700.0,ns,9
knn search,vptree,2048,,,52833600.0,ns,9
knn search,vptree,2048,,,52391400.0,ns,9
knn search,vptree,2048,,,52727900.0,ns,9
knn search,vptree,2048,,,53202700.0,ns,9
knn search,vptree,2048,,,53213200.0,ns,9
knn search,vptree,2048,,,53456300.0,ns,9
knn search,vptree,2048,,,52879400.0,ns,9
knn search,vptree,2048,,,52821500.0,ns,9
knn search,vptree,2048,,,52810200.0,ns,9
knn search,vptree,2048,,,52132500.0,ns,9
knn search,vptree,2048,,,60289600.0,ns,9
knn search,vptree,2048,,,52624500.0,ns,9
knn search,vptree,2048,,,53176600.0,ns,9
knn search,vptree,2048,,,52265400.0,ns,9
knn search,vptree,2048,,,52289400.0,ns,9
knn search,vptree,2048,,,53178200.0,ns,9
knn search,vptree,2048,,,52441400.0,ns,9
knn search,vptree,2048,,,52147800.0,ns,9
knn search,vptree,2048,,,52763000.0,ns,9
knn search,vptree,2048,,,52616800.0,ns,9
knn search,vptree,2048,,,52779200.0,ns,9
knn search,vptree,2048,,,52813000.0,ns,9
knn search,vptree,2048,,,53552700.0,ns,9
knn search,vptree,2048,,,59796100.0,ns,9
knn search,vptree,2048,,,57164700.0,ns,9
knn search,vptree,2048,,,53099400.0,ns,9
knn search,vptree,2048,,,53402200.0,ns,9
knn search,vptree,2048,,,53698300.0,ns,9
knn search,vptree,2048,,,53291000.0,ns,9
knn search,vptree,2048,,,52859600.0,ns,9
knn search,vptree,2048,,,53056300.0,ns,9
knn search,vptree,2048,,,52691800.0,ns,9
knn search,vptree,2048,,,53093400.0,ns,9
knn search,vptree,2048,,,52820300.0,ns,9
knn search,vptree,2048,,,52398100.0,ns,9
knn search,vptree,2048,,,52313500.0,ns,9
knn search,vptree,2048,,,52773900.0,ns,9
knn search,vptree,2048,,,53362700.0,ns,9
knn search,vptree,2048,,,52422000.0,ns,9
knn search,vptree,2048,,,53462200.0,ns,9
knn search,vptree,2048,,,53195000.0,ns,9
knn search,vptree,2048,,,52778700.0,ns,9
knn search,vptree,2048,,,53416500.0,ns,9
knn search,vptree,2048,,,56153100.0,ns,9
knn search,vptree,2048,,,55156500.0,ns,9
knn search,vptree,2048,,,53720000.0,ns,9
knn search,vptree,2048,,,53209600.0,ns,9
knn search,vptree,2048,,,54154000.0,ns,9
knn search,vptree,2048,,,53504200.0,ns,9
knn search,vptree,2048,,,54008600.0,ns,9
knn search,vptree,2048,,,53253300.0,ns,9
knn search,vptree,2048,,,52838300.0,ns,9
knn search,vptree,2048,,,52343100.0,ns,9
knn search,vptree,2048,,,57202400.0,ns,9
knn search,vptree,2048,,,53578800.0,ns,9
knn search,vptree,2048,,,52826900.0,ns,9
knn search,vptree,2048,,,52402200.0,ns,9
knn search,vptree,2048,,,52305200.0,ns,9
knn search,vptree,2048,,,52451500.0,ns,9
knn search,vptree,2048,,,53420500.0,ns,9
knn search,vptree,2048,,,53278900.0,ns,9
knn search,vptree,2048,,,52733600.0,ns,9
knn search,vptree,2048,,,52546900.0,ns,9
knn search,vptree,2048,,,53329800.0,ns,9
knn search,vptree,2048,,,52980300.0,ns,9
knn search,vptree,2048,,,52506400.0,ns,9
knn search,vptree,2048,,,53450400.0,ns,9
knn search,vptree,2048,,,52509100.0,ns,9
