group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
knn search,vptree,16,,,1157500.0,ns,50
knn search,vptree,16,,,2076600.0,ns,100
knn search,vptree,16,,,2928600.0,ns,150
knn search,vptree,16,,,4254400.0,ns,200
knn search,vptree,16,,,5365400.0,ns,250
knn search,vptree,16,,,6184600.0,ns,300
knn search,vptree,16,,,7143600.0,ns,350
knn search,vptree,16,,,7784400.0,ns,400
knn search,vptree,16,,,9053700.0,ns,450
knn search,vptree,16,,,9982400.0,ns,500
knn search,vptree,16,,,11040600.0,ns,550
knn search,vptree,16,,,13097800.0,ns,600
knn search,vptree,16,,,12681800.0,ns,650
knn search,vptree,16,,,13571300.0,ns,700
knn search,vptree,16,,,15338900.0,ns,750
knn search,vptree,16,,,16362900.0,ns,800
knn search,vptree,16,,,18071500.0,ns,850
knn search,vptree,16,,,17748900.0,ns,900
knn search,vptree,16,,,18779700.0,ns,950
knn search,vptree,16,,,20274500.0,ns,1000
knn search,vptree,16,,,24711700.0,ns,1050
knn search,vptree,16,,,21368500.0,ns,1100
knn search,vptree,16,,,22466400.0,ns,1150
knn search,vptree,16,,,23099600.0,ns,1200
knn search,vptree,16,,,25937800.0,ns,1250
knn search,vptree,16,,,25461500.0,ns,1300
knn search,vptree,16,,,26622300.0,ns,1350
knn search,vptree,16,,,28828900.0,ns,1400
knn search,vptree,16,,,29651400.0,ns,1450
knn search,vptree,16,,,29469400.0,ns,1500
knn search,vptree,16,,,30359200.0,ns,1550
knn search,vptree,16,,,32329200.0,ns,1600
knn search,vptree,16,,,32625600.0,ns,1650
knn search,vptree,16,,,33589300.0,ns,1700
knn search,vptree,16,,,33916900.0,ns,1750
knn search,vptree,16,,,35757400.0,ns,1800
knn search,vptree,16,,,35856000.0,ns,1850
knn search,vptree,16,,,37155000.0,ns,1900
knn search,vptree,16,,,38879900.0,ns,1950
knn search,vptree,16,,,40081900.0,ns,2000
knn search,vptree,16,,,40172200.0,ns,2050
knn search,vptree,16,,,40944000.0,ns,2100
knn search,vptree,16,,,41876600.0,ns,2150
knn search,vptree,16,,,43016900.0,ns,2200
knn search,vptree,16,,,44684000.0,ns,2250
knn search,vptree,16,,,44685400.0,ns,2300
knn search,vptree,16,,,46294900.0,ns,2350
knn search,vptree,16,,,47532700.0,ns,2400
knn search,vptree,16,,,48422500.0,ns,2450
knn search,vptree,16,,,48933900.0,ns,2500
knn search,vptree,16,,,50470400.0,ns,2550
knn search,vptree,16,,,55384900.0,ns,2600
knn search,vptree,16,,,56067900.0,ns,2650
knn search,vptree,16,,,53498400.0,ns,2700
knn search,vptree,16,,,55070500.0,ns,2750
knn search,vptree,16,,,55061300.0,ns,2800
knn search,vptree,16,,,57286400.0,ns,2850
knn search,vptree,16,,,57485700.0,ns,2900
knn search,vptree,16,,,58034900.0,ns,2950
knn search,vptree,16,,,58731200.0,ns,3000
knn search,vptree,16,,,64805900.0,ns,3050
knn search,vptree,16,,,62837200.0,ns,3100
knn search,vptree,16,,,69193200.0,ns,3150
knn search,vptree,16,,,65401200.0,ns,3200
knn search,vptree,16,,,64579700.0,ns,3250
knn search,vptree,16,,,66062000.0,ns,3300
knn search,vptree,16,,,66972900.0,ns,3350
knn search,vptree,16,,,68382400.0,ns,3400
knn search,vptree,16,,,70940600.0,ns,3450
knn search,vptree,16,,,70397700.0,ns,3500
knn search,vptree,16,,,72228600.0,ns,3550
knn search,vptree,16,,,73593400.0,ns,3600
knn search,vptree,16,,,74792400.0,ns,3650
knn search,vptree,16,,,74506400.0,ns,3700
knn search,vptree,16,,,74032500.0,ns,3750
knn search,vptree,16,,,74117700.0,ns,3800
knn search,vptree,16,,,78193800.0,ns,3850
knn search,vptree,16,,,76050600.0,ns,3900
knn search,vptree,16,,,77633000.0,ns,3950
knn search,vptree,16,,,81062700.0,ns,4000
knn search,vptree,16,,,79749800.0,ns,4050
knn search,vptree,16,,,81778800.0,ns,4100
knn search,vptree,16,,,81709100.0,ns,4150
knn search,vptree,16,,,88115900.0,ns,4200
knn search,vptree,16,,,82279400.0,ns,4250
knn search,vptree,16,,,83406300.0,ns,4300
knn search,vptree,16,,,85355100.0,ns,4350
knn search,vptree,16,,,86848900.0,ns,4400
knn search,vptree,16,,,87134000.0,ns,4450
knn search,vptree,16,,,88136600.0,ns,4500
knn search,vptree,16,,,89719500.0,ns,4550
knn search,vptree,16,,,90284500.0,ns,4600
knn search,vptree,16,,,90816100.0,ns,4650
knn search,vptree,16,,,91650000.0,ns,4700
knn search,vptree,16,,,95444400.0,ns,4750
knn search,vptree,16,,,94187100.0,ns,4800
knn search,vptree,16,,,96946000.0,ns,4850
knn search,vptree,16,,,96660800.0,ns,4900
knn search,vptree,16,,,97035800.0,ns,4950
knn search,vptree,16,,,97919400.0,ns,5000
