group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
knn search,brute force,16,,,1052200.0,ns,71
knn search,brute force,16,,,1974700.0,ns,142
knn search,brute force,16,,,2794400.0,ns,213
knn search,brute force,16,,,3740200.0,ns,284
knn search,brute force,16,,,5000900.0,ns,355
knn search,brute force,16,,,5602300.0,ns,426
knn search,brute force,16,,,6587400.0,ns,497
knn search,brute force,16,,,7610300.0,ns,568
knn search,brute force,16,,,8297400.0,ns,639
knn search,brute force,16,,,9663700.0,ns,710
knn search,brute force,16,,,10854000.0,ns,781
knn search,brute force,16,,,11191900.0,ns,852
knn search,brute force,16,,,12387700.0,ns,923
knn search,brute force,16,,,13188700.0,ns,994
knn search,brute force,16,,,14127400.0,ns,1065
knn search,brute force,16,,,14909500.0,ns,1136
knn search,brute force,16,,,16770300.0,ns,1207
knn search,brute force,16,,,16768700.0,ns,1278
knn search,brute force,16,,,17660500.0,ns,1349
knn search,brute force,16,,,18638900.0,ns,1420
knn search,brute force,16,,,20668700.0,ns,1491
knn search,brute force,16,,,27972400.0,ns,1562
knn search,brute force,16,,,21473300.0,ns,1633
knn search,brute force,16,,,22271000.0,ns,1704
knn search,brute force,16,,,24320300.0,ns,1775
knn search,brute force,16,,,24488400.0,ns,1846
knn search,brute force,16,,,25170600.0,ns,1917
knn search,brute force,16,,,25990100.0,ns,1988
knn search,brute force,16,,,27582700.0,ns,2059
knn search,brute force,16,,,28923200.0,ns,2130
knn search,brute force,16,,,29684500.0,ns,2201
knn search,brute force,16,,,30083000.0,ns,2272
knn search,brute force,16,,,30995000.0,ns,2343
knn search,brute force,16,,,32999000.0,ns,2414
knn search,brute force,16,,,33874100.0,ns,2485
knn search,brute force,16,,,33957300.0,ns,2556
knn search,brute force,16,,,35978200.0,ns,2627
knn search,brute force,16,,,36556200.0,ns,2698
knn search,brute force,16,,,36936600.0,ns,2769
knn search,brute force,16,,,37846100.0,ns,2840
knn search,brute force,16,,,40341900.0,ns,2911
knn search,brute force,16,,,41796000.0,ns,2982
knn search,brute force,16,,,41785900.0,ns,3053
knn search,brute force,16,,,41933900.0,ns,3124
knn search,brute force,16,,,42628100.0,ns,3195
knn search,brute force,16,,,45313000.0,ns,3266
knn search,brute force,16,,,44339000.0,ns,3337
knn search,brute force,16,,,44965600.0,ns,3408
knn search,brute force,16,,,45990300.0,ns,3479
knn search,brute force,16,,,47079500.0,ns,3550
knn search,brute force,16,,,47816200.0,ns,3621
knn search,brute force,16,,,49234500.0,ns,3692
knn search,brute force,16,,,52199500.0,ns,3763
knn search,brute force,16,,,52296700.0,ns,3834
knn search,brute force,16,,,52389600.0,ns,3905
knn search,brute force,16,,,52648100.0,ns,3976
knn search,brute force,16,,,53378000.0,ns,4047
knn search,brute force,16,,,54313800.0,ns,4118
knn search,brute force,16,,,55538300.0,ns,4189
knn search,brute force,16,,,56044200.0,ns,4260
knn search,brute force,16,,,58260400.0,ns,4331
knn search,brute force,16,,,60394400.0,ns,4402
knn search,brute force,16,,,59933000.0,ns,4473
knn search,brute force,16,,,66128400.0,ns,4544
knn search,brute force,16,,,68025400.0,ns,4615
knn search,brute force,16,,,62963800.0,ns,4686
knn search,brute force,16,,,65338900.0,ns,4757
knn search,brute force,16,,,64827500.0,ns,4828
knn search,brute force,16,,,64445700.0,ns,4899
knn search,brute force,16,,,69761600.0,ns,4970
knn search,brute force,16,,,66515500.0,ns,5041
knn search,brute force,16,,,67696700.0,ns,5112
knn search,brute force,16,,,68043500.0,ns,5183
knn search,brute force,16,,,70431600.0,ns,5254
knn search,brute force,16,,,72393700.0,ns,5325
knn search,brute force,16,,,71222500.0,ns,5396
knn search,brute force,16,,,73196400.0,ns,5467
knn search,brute force,16,,,73303400.0,ns,5538
knn search,brute force,16,,,76977800.0,ns,5609
knn search,brute force,16,,,74828400.0,ns,5680
knn search,brute force,16,,,76360100.0,ns,5751
knn search,brute force,16,,,84907100.0,ns,5822
knn search,brute force,16,,,78402500.0,ns,5893
knn search,brute force,16,,,80925500.0,ns,5964
knn search,brute force,16,,,79630600.0,ns,6035
knn search,brute force,16,,,82345400.0,ns,6106
knn search,brute force,16,,,84194800.0,ns,6177
knn search,brute force,16,,,82582200.0,ns,6248
knn search,brute force,16,,,85806600.0,ns,6319
knn search,brute force,16,,,85033900.0,ns,6390
knn search,brute force,16,,,85437600.0,ns,6461
knn search,brute force,16,,,88273200.0,ns,6532
knn search,brute force,16,,,86963600.0,ns,6603
knn search,brute force,16,,,89732100.0,ns,6674
knn search,brute force,16,,,90997900.0,ns,6745
knn search,brute force,16,,,102600700.0,ns,6816
knn search,brute force,16,,,92543900.0,ns,6887
knn search,brute force,16,,,93960100.0,ns,6958
knn search,brute force,16,,,94171300.0,ns,7029
knn search,brute force,16,,,99338300.0,ns,7100
