group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
knn search,brute force,64,,,1089100.0,ns,5
knn search,brute force,64,,,1988300.0,ns,10
knn search,brute force,64,,,2964700.0,ns,15
knn search,brute force,64,,,3991400.0,ns,20
knn search,brute force,64,,,5093500.0,ns,25
knn search,brute force,64,,,6082400.0,ns,30
knn search,brute force,64,,,6982700.0,ns,35
knn search,brute force,64,,,7952200.0,ns,40
knn search,brute force,64,,,8954000.0,ns,45
knn search,brute force,64,,,9920700.0,ns,50
knn search,brute force,64,,,10979100.0,ns,55
knn search,brute force,64,,,12134600.0,ns,60
knn search,brute force,64,,,13089500.0,ns,65
knn search,brute force,64,,,13976100.0,ns,70
knn search,brute force,64,,,15404400.0,ns,75
knn search,brute force,64,,,19891500.0,ns,80
knn search,brute force,64,,,16993700.0,ns,85
knn search,brute force,64,,,17961500.0,ns,90
knn search,brute force,64,,,19189500.0,ns,95
knn search,brute force,64,,,20151100.0,ns,100
knn search,brute force,64,,,21252600.0,ns,105
knn search,brute force,64,,,22287700.0,ns,110
knn search,brute force,64,,,23289600.0,ns,115
knn search,brute force,64,,,24062600.0,ns,120
knn search,brute force,64,,,25098800.0,ns,125
knn search,brute force,64,,,25962500.0,ns,130
knn search,brute force,64,,,26739700.0,ns,135
knn search,brute force,64,,,27618100.0,ns,140
knn search,brute force,64,,,28863000.0,ns,145
knn search,brute force,64,,,29681000.0,ns,150
knn search,brute force,64,,,30957100.0,ns,155
knn search,brute force,64,,,31977700.0,ns,160
knn search,brute force,64,,,33545000.0,ns,165
knn search,brute force,64,,,33907500.0,ns,170
knn search,brute force,64,,,35571700.0,ns,175
knn search,brute force,64,,,37037200.0,ns,180
knn search,brute force,64,,,36424500.0,ns,185
knn search,brute force,64,,,37530600.0,ns,190
knn search,brute force,64,,,38365200.0,ns,195
knn search,brute force,64,,,39510000.0,ns,200
knn search,brute force,64,,,40477500.0,ns,205
knn search,brute force,64,,,41542500.0,ns,210
knn search,brute force,64,,,42881000.0,ns,215
knn search,brute force,64,,,43865700.0,ns,220
knn search,brute force,64,,,44972800.0,ns,225
knn search,brute force,64,,,45331900.0,ns,230
knn search,brute force,64,,,47064500.0,ns,235
knn search,brute force,64,,,52221900.0,ns,240
knn search,brute force,64,,,49695400.0,ns,245
knn search,brute force,64,,,50103800.0,ns,250
knn search,brute force,64,,,50575500.0,ns,255
knn search,brute force,64,,,52109600.0,ns,260
knn search,brute force,64,,,52317300.0,ns,265
knn search,brute force,64,,,54595500.0,ns,270
knn search,brute force,64,,,54790000.0,ns,275
knn search,brute force,64,,,55729400.0,ns,280
knn search,brute force,64,,,57129500.0,ns,285
knn search,brute force,64,,,57869600.0,ns,290
knn search,brute force,64,,,59035400.0,ns,295
knn search,brute force,64,,,59459000.0,ns,300
knn search,brute force,64,,,60611100.0,ns,305
knn search,brute force,64,,,62098500.0,ns,310
knn search,brute force,64,,,62803200.0,ns,315
knn search,brute force,64,,,63304000.0,ns,320
knn search,brute force,64,,,66093000.0,ns,325
knn search,brute force,64,,,66019300.0,ns,330
knn search,brute force,64,,,67085500.0,ns,335
knn search,brute force,64,,,67330100.0,ns,340
knn search,brute force,64,,,68669500.0,ns,345
knn search,brute force,64,,,70458900.0,ns,350
knn search,brute force,64,,,71600200.0,ns,355
knn search,brute force,64,,,72313700.0,ns,360
knn search,brute force,64,,,72622400.0,ns,365
knn search,brute force,64,,,73761600.0,ns,370
knn search,brute force,64,,,74352600.0,ns,375
knn search,brute force,64,,,75441900.0,ns,380
knn search,brute force,64,,,76674300.0,ns,385
knn search,brute force,64,,,77728400.0,ns,390
knn search,brute force,64,,,78663700.0,ns,395
knn search,brute force,64,,,79654400.0,ns,400
knn search,brute force,64,,,80517600.0,ns,405
knn search,brute force,64,,,81132300.0,ns,410
knn search,brute force,64,,,82371400.0,ns,415
knn search,brute force,64,,,84551200.0,ns,420
knn search,brute force,64,,,84729000.0,ns,425
knn search,brute force,64,,,86250600.0,ns,430
knn search,brute force,64,,,86887100.0,ns,435
knn search,brute force,64,,,87833600.0,ns,440
knn search,brute force,64,,,90562200.0,ns,445
knn search,brute force,64,,,89152200.0,ns,450
knn search,brute force,64,,,90883400.0,ns,455
knn search,brute force,64,,,91461300.0,ns,460
knn search,brute force,64,,,92489200.0,ns,465
knn search,brute force,64,,,93866000.0,ns,470
knn search,brute force,64,,,97330100.0,ns,475
knn search,brute force,64,,,96415600.0,ns,480
knn search,brute force,64,,,96538100.0,ns,485
knn search,brute force,64,,,97229600.0,ns,490
knn search,brute force,64,,,98539400.0,ns,495
knn search,brute force,64,,,99083900.0,ns,500
